,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,0.1659,0.2305,0.2075,0.2064,0.2029,0.2018,0.191,0.1643,0.1698,0.1777,0.1632,0.1617,0.1564,0.1799,0.1445,0.149,0.1606,0.1895,0.1709,0.172,0.1732,0.1533,0.1504,0.1506,0.179,0.172,0.1478,0.1832,0.1597,0.1827,0.1721,0.1636,0.185,0.1912,0.178,0.1846,0.1624,0.1904,0.2094,0.1868,0.1718,0.2008,0.2028,0.1941,0.1859,0.1969,0.1991,0.2198,0.2179,0.2214,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1659,0.2305,0.2075,0.2064,0.2183,0.2073,0.2195,0.1931,0.2126,0.1864,0.1691,0.174,0.1805,0.1808,0.1614,0.1858,0.1931,0.1638,0.1643,0.1816,0.1472,0.1677,0.1735,0.136,0.157,0.2001,0.2068,0.2217,0.1909,0.1698,0.2026,0.2097,0.1953,0.2126,0.2194,0.2236,0.225,0.2214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1659,0.2305,0.2075,0.2064,0.1747,0.1688,0.1932,0.175,0.1796,0.212,0.1829,0.1849,0.1761,0.2054,0.1995,0.1603,0.1692,0.1755,0.1859,0.1837,0.178,0.1656,0.1593,0.1774,0.162,0.1514,0.145,0.1758,0.1923,0.2085,0.1869,0.1661,0.1973,0.188,0.188,0.196,0.204,0.2224,0.2255,0.1895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1659,0.2305,0.2075,0.2064,0.2029,0.1722,0.2059,0.1797,0.1652,0.1716,0.1521,0.1644,0.1675,0.1589,0.1722,0.187,0.2045,0.1624,0.1793,0.1888,0.1505,0.17,0.1805,0.1549,0.1858,0.173,0.1731,0.1506,0.1943,0.1908,0.1926,0.1985,0.1805,0.1973,0.1727,0.1716,0.1918,0.2052,0.1866,0.2035,0.2158,0.22,0.217,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1659,0.2305,0.2075,0.2064,0.2115,0.1788,0.1842,0.2064,0.1897,0.1923,0.2177,0.2007,0.1772,0.2097,0.2065,0.1935,0.1791,0.1877,0.1654,0.1676,0.1843,0.1682,0.1694,0.1434,0.1906,0.2013,0.1775,0.1705,0.1956,0.1997,0.1895,0.1991,0.2065,0.2289,0.2139,0.2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1659,0.2305,0.2075,0.2064,0.2029,0.2018,0.1793,0.188,0.19,0.1907,0.1855,0.1792,0.1794,0.1768,0.1731,0.1846,0.1971,0.1725,0.1576,0.1495,0.1497,0.1605,0.1542,0.1558,0.163,0.1436,0.1741,0.1499,0.1855,0.1823,0.1774,0.1467,0.1708,0.1602,0.1721,0.1616,0.2063,0.2043,0.1855,0.1897,0.1921,0.2012,0.2148,0.2275,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.1659,0.2305,0.2075,0.2064,0.2029,0.2018,0.1793,0.188,0.1837,0.1823,0.1947,0.1809,0.1682,0.1968,0.1675,0.1931,0.1967,0.1847,0.1703,0.1567,0.1709,0.1658,0.1365,0.1427,0.1718,0.1318,0.2119,0.1818,0.1594,0.1918,0.2238,0.1895,0.1843,0.1654,0.152,0.1763,0.1947,0.1974,0.1897,0.1787,0.2001,0.1841,0.1855,0.1855,0.1648,0.1611,0.1667,0.1935,0.2063,0.1996,0.1886,0.2007,0.2045,0.2129,0.2264,0.2056
7,0.1659,0.2305,0.2075,0.2064,0.2029,0.2018,0.2031,0.2129,0.1824,0.1755,0.1976,0.176,0.2109,0.1655,0.1766,0.1912,0.1849,0.1787,0.1624,0.1626,0.17,0.1794,0.1595,0.1548,0.1661,0.2058,0.1852,0.1794,0.1746,0.1573,0.1508,0.175,0.1516,0.1774,0.1766,0.1854,0.1808,0.1923,0.1793,0.1752,0.1901,0.1808,0.1827,0.201,0.1853,0.1798,0.1887,0.2029,0.2125,0.2106,0.184,0.0,0.0,0.0,0.0,0.0
8,0.1659,0.2305,0.2075,0.2064,0.1891,0.1892,0.2124,0.2037,0.1987,0.1588,0.2028,0.1858,0.2045,0.2072,0.1862,0.2122,0.715,0.2118,0.1687,0.1764,0.1865,0.1757,0.181,0.1649,0.1582,0.139,0.1824,0.215,0.1918,0.1616,0.1879,0.1725,0.1753,0.1704,0.1722,0.1687,0.1967,0.2042,0.1904,0.1951,0.1931,0.1787,0.1998,0.2023,0.2175,0.2137,0.1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
