,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,1.243,0.3606,0.3413,0.3445,0.334,0.2915,0.288,0.278,0.2815,0.2747,0.2593,0.2666,0.2598,0.2788,0.2445,0.2394,0.26,0.3108,0.2976,0.2554,0.2847,0.258,0.2563,0.2451,0.267,0.2678,0.2496,0.2788,0.256,0.2747,0.2974,0.2947,0.3047,0.2993,0.2898,0.296,0.2664,0.2966,0.2952,0.299,0.29,0.296,0.3193,0.3135,0.3086,0.3079,0.3137,0.338,0.347,0.3225,0.0,0.0,0.0,0.0,0.0,0.0
1,1.243,0.3606,0.3413,0.3445,0.3474,0.3237,0.328,0.3184,0.306,0.2969,0.2874,0.2732,0.298,0.282,0.2612,0.2886,0.2854,0.2927,0.266,0.2812,0.2593,0.2754,0.2715,0.25,0.2488,0.3196,0.2913,0.3396,0.3093,0.2861,0.3276,0.3337,0.313,0.3333,0.3235,0.3406,0.3484,0.3271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.243,0.3606,0.3413,0.3445,0.326,0.2969,0.3162,0.3018,0.2966,0.3103,0.2888,0.29,0.2886,0.2905,0.3057,0.2786,0.2693,0.2754,0.2632,0.262,0.276,0.2527,0.2473,0.2625,0.2642,0.2499,0.24,0.26,0.2642,0.3093,0.2986,0.2825,0.3215,0.3103,0.311,0.3137,0.326,0.3362,0.3499,0.3115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.243,0.3606,0.3413,0.3445,0.334,0.3044,0.3088,0.285,0.2896,0.2583,0.2598,0.265,0.271,0.2617,0.2668,0.2766,0.316,0.2935,0.316,0.2932,0.2651,0.2964,0.2837,0.264,0.2847,0.2708,0.272,0.262,0.281,0.3186,0.3142,0.306,0.289,0.3083,0.2954,0.2754,0.3176,0.3206,0.312,0.3198,0.3203,0.3394,0.3372,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.243,0.3606,0.3413,0.3445,0.3406,0.3047,0.3074,0.3127,0.294,0.2737,0.3096,0.2896,0.279,0.2986,0.3052,0.3008,0.282,0.2795,0.2766,0.272,0.2856,0.2834,0.259,0.2603,0.2737,0.3167,0.292,0.2786,0.3228,0.3176,0.3113,0.3215,0.3186,0.336,0.3408,0.3193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.243,0.3606,0.3413,0.3445,0.334,0.2915,0.302,0.296,0.2905,0.2773,0.2795,0.291,0.3013,0.2852,0.2712,0.2583,0.3167,0.3047,0.246,0.2554,0.241,0.258,0.2537,0.2566,0.2542,0.2393,0.2656,0.2451,0.277,0.3018,0.289,0.2542,0.2756,0.2717,0.2686,0.2705,0.2954,0.3271,0.3079,0.311,0.3108,0.3167,0.3289,0.3489,0.3145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.243,0.3606,0.3413,0.3445,0.334,0.2915,0.302,0.296,0.3022,0.2827,0.285,0.2717,0.2825,0.28,0.2751,0.2756,0.3186,0.3167,0.2576,0.2744,0.28,0.255,0.2489,0.257,0.2742,0.2705,0.293,0.2795,0.2708,0.3008,0.3022,0.3071,0.2998,0.2732,0.2668,0.275,0.2922,0.297,0.3015,0.2817,0.2856,0.3062,0.3027,0.2944,0.2852,0.2852,0.2786,0.29,0.3296,0.3171,0.3147,0.3145,0.3115,0.3257,0.3477,0.3176
7,1.243,0.3606,0.3413,0.3445,0.334,0.2915,0.2935,0.297,0.2944,0.286,0.2756,0.275,0.2842,0.2617,0.2544,0.253,0.299,0.2957,0.2416,0.276,0.2554,0.2593,0.265,0.242,0.2632,0.265,0.2693,0.2654,0.2534,0.2595,0.2382,0.267,0.2496,0.2573,0.2693,0.2576,0.296,0.299,0.281,0.2808,0.2952,0.2805,0.2693,0.3237,0.3064,0.31,0.3098,0.307,0.3274,0.3389,0.3003,0.0,0.0,0.0,0.0,0.0
8,1.243,0.3606,0.3413,0.3445,0.319,0.3105,0.3103,0.3137,0.284,0.276,0.279,0.2703,0.2864,0.3245,0.2993,0.3533,0.634,0.3176,0.2703,0.2922,0.3015,0.2725,0.2732,0.2708,0.261,0.2515,0.2866,0.2974,0.3037,0.2783,0.2993,0.2678,0.259,0.2659,0.28,0.2644,0.3022,0.2886,0.3044,0.3372,0.3164,0.3052,0.32,0.3176,0.3323,0.3367,0.3076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
